,t,x,y,z,nx,ny,nz,ix,iy,iz,bx,by,bz,rx,ry,rz,m,rho
1260,0.9870000000017969,4.713716346528234,-0.3492650565961419,0.06435470511697476,0.5173197092192249,-0.8557922168688709,-0.0,1.7395288808845761,0.6443180019448097,0.05180143136174898,1.3593303302622455,1.0414309282367546,0.19669651951678813,1.3235515168661383,1.0607594726117489,0.1706385829081529,0.0010000000000000002,992.514109947828
1261,0.987000000002204,4.866008570888963,-0.23617401887247363,0.018148507266826045,0.6630405717680417,-0.7485706124512534,-0.004386155932445479,1.6916614531927705,1.2559437948841945,-0.03782887180500332,1.4852607245546092,1.025608927901616,0.11877420179786194,1.4566671337794532,1.0367740107237446,0.10390825862434384,0.0010000000000000002,1000.896044994766
1262,0.9880000000002477,5.5188283297355625,0.46260164638521345,0.03511802191144719,-0.17405962484228352,0.9847351151450646,0.0,3.0506863363486376,2.875498968365861,0.11657645815694996,3.8487545736358686,0.2195988343879508,0.08112715438501757,3.7833315328068515,0.3231835735909569,0.23634705164780173,0.0010000000000000002,1005.4039979811022
1263,0.9880000000064307,5.516782457566261,0.46226236970275025,0.10139099338658696,-0.1852124562965255,0.9826816333980799,0.005757900197939502,3.012872736039893,3.0433883576895777,-0.8646955371452151,3.8058727494186733,-0.21442758334603737,-0.6595777160237134,3.7675278692281786,0.24914038963880203,-0.37527367549561286,0.0010000000000000002,995.9301522557572
1264,0.9879999999987361,5.449179050287697,0.4479036934088953,0.03817214374832458,-0.2290885909792789,0.9733888678923172,-0.00570345039795319,2.3903568022234345,3.1693107296623086,-0.24699956773247314,1.2203468810652196,0.09527895371144054,0.8885948227597427,1.5147431787205776,0.07419838613292866,0.8013480640091796,0.0010000000000000002,1004.0732089397436
1265,0.9879999999982225,5.500787297393785,0.4592176379462454,0.08004035541761577,-0.19629703849713095,0.9805276459358129,0.005745279177647854,2.248755863631045,2.3172662817509937,-2.08560154452282,2.1580372854442698,-0.020687292714334365,-0.21982903148803856,2.156047383541802,-0.1171151443943307,-0.44894207538893854,0.0010000000000000002,962.0789284469578
1266,0.9780000053583087,5.526280125087599,0.46402472523023286,0.10536387428410256,-0.17405672750980067,0.9847187235947037,0.005769836271212588,3.9858855893992704,2.7635228714909505,-0.5011865365299735,4.400016602912661,-0.5391108548086222,-0.42260470413462925,4.346566819900743,-0.5714098811746974,-0.5193790969286719,0.0010000000000000002,1006.6966521132545
1267,0.9839999998482097,5.533416857920323,0.4652246759911705,0.11103801636503054,-0.16283630253850898,0.9866530994101154,0.0,3.2344312485781375,2.843528962523098,-0.7847924668801375,4.033533709696506,-0.8293671297012418,-0.15533843662279515,4.1660879047666874,-0.9246938176716283,-0.21715505293107265,0.0010000000000000002,1014.0607312987019
1268,0.9880000000009599,5.550662450205986,0.46794873763442535,0.044245951911301415,-0.1571979267095714,0.9875501653605754,0.0057864267481999385,3.4555183038378314,2.407430393240093,0.15449889359921823,4.0205241775189595,0.3255050168992463,-0.050113994775760395,4.073376969385475,0.4141459843284286,0.07032276872708652,0.0010000000000000002,998.2521564476389
1269,0.9880000000063824,5.531569978677022,0.46492374533077585,0.061266278429394895,-0.162836302538509,0.9866530994101155,0.0,2.9963897463796103,2.7712348575923946,0.26226747890759744,3.7954485346340974,-0.35959590109704054,0.18918058888496647,3.97753955457247,-0.29254170249110006,0.10003183717722372,0.0010000000000000002,1006.7958860883632
1270,0.9889999999924161,5.507481632281871,0.46048204682217075,0.03505618271691763,-0.1740567275138817,0.9847187235939946,-0.005769836269104517,2.8666940372685774,2.509746058498128,0.007403923805514294,2.972370777218553,-0.2837657062040839,-0.07473622030999737,3.162155053986628,-0.2644672790611566,0.03225992328711129,0.0010000000000000002,975.7612365545178
1271,0.9890000000018571,5.506653919681409,0.4603367901038997,0.045593504599981835,-0.1740567275138817,0.9847187235939946,-0.005769836269104517,2.8491591172308235,3.085802711466243,0.012118091190609071,2.7926728631440807,0.23073571179579788,0.28412167509439495,2.9045787400593777,0.18521954487365405,0.2951936716886814,0.0010000000000000002,1009.1430368239894
1272,0.9890000000003777,5.5075523895998835,0.4605517751967516,0.06025886024633192,-0.1852155265835272,0.9826979234293655,0.0,2.883378939199763,3.280762322800831,0.06432315996549026,3.154734665198104,-0.5140030359435839,-0.01869453820201257,3.2620084395631834,-0.4194702835896892,-0.08878244985245147,0.0010000000000000002,1005.7109712890929
1273,0.9779999711602251,5.509818604689129,0.46107522013426844,0.13461482827924018,-0.17964623937033974,0.9837312786935742,0.0,3.297605005125878,3.3152245999786802,-0.40873677328850905,3.413732650137954,-2.2501249210945082,-0.8023359389751814,3.4220301741121766,-2.32109047692905,-0.44156958692003234,0.0010000000000000002,1006.0032492375631
1274,0.9889999999958925,5.5357614659724215,0.46551938906321505,0.026421773115101604,-0.15154687252231794,0.9884331048662575,-0.005791600223976182,3.1323359624630926,2.3290895117366017,0.14633791454378764,4.0113650540819625,0.5676817053315181,0.10200085025235757,4.02681413910473,0.5975682298767069,0.14514202236142207,0.0010000000000000002,998.1999815738997
1275,0.9897269999962313,5.505017198505578,0.46003497154595324,0.09245287196109611,-0.18521552658150103,0.9826979234297472,0.0,2.649490005830477,2.8339849739413254,-0.9647539465208179,1.6096370279396255,-0.10858082214866778,-0.31716832806409656,1.710533835207118,-0.05664519327305939,-0.25558868599124634,0.0010000000000000002,1001.8176837839405
1276,0.9897269999902005,5.481437099144682,0.4551861721192564,0.020090966796253548,-0.2073102806071042,0.9782752412049502,0.0,2.324098629374658,3.161116506707637,-0.17916874538691213,1.6700429970233455,0.22411737732901088,0.006782239812690105,1.7535454984036185,0.1952996964174265,-0.18307550126888078,0.0010000000000000002,1006.3596626458356
1277,0.9897269999858012,5.564749514865609,0.4699857409948534,0.05834651531885366,-0.1345063528295989,0.990895721591591,-0.005806029620965595,2.5274411678823916,2.6288237336840026,-0.26183079507811186,4.112241955704111,0.6527347081381606,-0.10611962835733238,4.094140285743487,0.637069843081246,-0.08051205713079053,0.0010000000000000002,1004.301255555029
1278,0.9897269999886117,5.578092315074613,0.47186671471947295,0.06494476085956619,-0.12307836888387226,0.9923799192211452,-0.005814726091456226,3.2175166951784435,1.919746645614671,-1.703304914774452,4.466089162689188,0.33970722078117555,-0.2698382332090271,4.47037026777587,0.40924081390890504,-0.275477286353358,0.0010000000000000002,982.651434789802
